ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,54.5999984741211
Blaisen,60.554821,7.492456889,207.899993896484
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,73.6999969482422
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,17.2999992370605
Exploradores,-46.5166,-73.1666,64.6999969482422
Falljokull,63.9767271,-16.769957,273
Forni,46.39383461,10.58866174,109.5
Gries,46.44341,8.337930974,102.099998474121
Grigoriev,41.975833,77.913333,6.19999980926514
Gulkana,63.25,-145.416667,12.1000003814697
Hansbreen,77.0312,15.6479,43.2000007629395
Isfallsglaci?ren,67.91483,18.5663,65.5
Iver,-33.25,-70.2166,5.09999990463257
Midtre Lov?nbreen,78.885,12.0495,37.7000007629395
Morterasch,46.39872903,9.920244756,107.5
Recherchebreen,77.4496,14.7978,53.2999992370605
Renardbreen,77.5238,14.4284,58.2000007629395
Scottbreen,77.5514,14.365,59.0999984741211
Suntarhyata No.29-31,62.583333,140.85,11.6000003814697
Tsanteleina,45.4799,7.046,92.5999984741211
Tyndall,-51.2166,-73.2833,68.8000030517578
Urumqi  No.1,43.116667,86.8,12.3000001907349
Vestre Broggerbreen,78.9006,11.8187,40.7000007629395
Waldemarbreen,78.6783,12.0584,44.5
Werenskioldbreen,77.0764,15.3202,50.9000015258789
Yala,28.23,85.61,33.5999984741211
Zebru,46.478611,10.568056,115.5
