"","Glacier","OM","Pu238","Pu239_240","Pu238to239_240","Pu240to_239","Hemisphere","Latitude","Longitude","Exposition","Elevation","Distance_ocean","Glacier_type","Hyper_region","Macro_region","Region","Locality","Data_type","Reference","Pu239_240_L","Pu238_L"
"1","Addishi",9.125,0.984553115199178,35.0946933229115,0.0308414290991434,0.16275,"Northern","43.024630860018704","43.017160048037603","Ocean",2600,140,"Valley","Europe","Southern Europe","Georgia","Georgia","Literature","£okas et al., 2018",3.55804993166042,-0.0155674309116831
"2","Blaisen",29.1844876307415,4.5180405918207,82.7820337610637,0.0554934214767536,0.149554433048636,"Northern","60.554820995988301","7.4924568889774399","Center",1600,145,"Outlet","Europe","European (sub)Arctic","Fennoscandia","Norway mainland","Literature","£okas et al., 2022",4.41621105428484,1.50807840247218
"3","Bonaparte",11.6389625699978,1.96708882198584,14.5762894159822,0.135363181312114,0.1024,"Southern","-64.755021444625598","-64.036764271177702","Ocean",200,0,"Outlet","Antarctic","South Shetland Islands","South Shetland Islands","South Shetland Islands","Original","Current_paper",2.67939619597239,0.676554694455462
"4","Castle Creek",7.44982493720563,1.23435414515275,14.6959457884442,0.0981177803181678,0.098475,"Northern","53.0346","-120.4596","Center",1900,545,"Valley","Arctic_sub","North American (sub)Arctic","British Columbia Canada","British Columbia Canada","Original","Current_paper",2.68757165904131,0.2105478738985
"5","Ecology",7.55146084224267,0.653494919874616,5.36958893666523,0.118936268608821,0.155772732073814,"Southern","-62.182951668001103","-58.470229006387903","Ocean",200,0,"Outlet","Antarctic","South Shetland Islands","South Shetland Islands","South Shetland Islands","Original","Current_paper",1.68075135748378,-0.425420519667102
"6","El Morado",5,0.486210968787228,4.92079078574989,0.08842054859314,0.0712,"Southern","-33.737800905457","-70.065130641923105","Center",3300,155,"Valley","South America","South America","Central South America","Chile","Original","Current_paper",1.59346924639968,-0.721112657117595
"7","Exploradores",1.85580276650735,2.03814759818639,6.84691469199261,0.2628322981864,0.0927454545454545,"Southern","-46.516599999999997","-73.166600000000003","Center",250,80,"Valley","South America","South America","Patagonia","Chile","Original","Current_paper",1.92379814088103,0.712041355233258
"8","Falljokull",0.852096404461255,0.0611992692906882,2.08975359681022,0.0236459840253177,0.166333333333333,"Northern","63.976727101634197","-16.769957000000002","Ocean",700,15,"Outlet","Arctic_sub","European (sub)Arctic","Iceland","Iceland","Original","Current_paper",0.737046162763356,-2.79362002922977
"9","Forni",6.69422645804742,0.222379929950391,4.88933832891507,0.044336994312009,0.193786500591601,"Northern","46.3938346138683","10.5886617392941","Center",2700,170,"Valley","Europe","Southern Europe","the Alps","Italy","Literature","Baccolo et al., 2020",1.5870569832711,-1.50336796370667
"10","Gries",4.35086188333945,NA,0.328526967201724,NA,0.15225,"Northern","46.44341","8.3379309741448306","Center",2600,230,"Valley","Europe","Southern Europe","the Alps","Switzerland","Original","Current_paper",-1.11313635248855,NA
"11","Grigoriev",10.2236884898191,0.337389299242215,8.2974831289121,0.0421874066264686,0.16775,"Northern","41.975833000000002","77.913332999999994","Equal",4300,2100,"Valley","Central Asia","Central Asia","Tienshan","Tienshan","Original","Current_paper",2.1159522313363,-1.08651782471934
"12","Gulkana",5.20062800318041,2.02038192595534,19.0324317163743,0.0426530689404887,0.131363636363636,"Northern","63.25","-145.41666699999999","Ocean",1450,270,"Valley","Arctic_sub","North American (sub)Arctic","Alaska","Alaska","Original","Current_paper",2.94614445645368,0.703286565796328
"13","Hansbreen",7.9009382110081,0.458957962670926,7.12684963757854,0.0608045299824697,0.131528758703446,"Northern","77.0312","15.6479","Ocean",75,0,"Outlet","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",1.96386929072155,-0.77879665771065
"14","Isfallsglaciären",16.4233210417258,2.25211760030044,40.9145183996972,0.055329888802718,0.143285714285714,"Northern","67.91483","18.5663","Center",1500,115,"Valley","Arctic_sub","European (sub)Arctic","Fennoscandia","Sweden","Original","Current_paper",3.71148497315844,0.811870929296086
"15","Iver",0.81503845206554,NA,0.214384652046654,NA,0.138272727272727,"Southern","-33.25","-70.2166","Ocean",4420,134,"Valley","South America","South America","Central South America","Chile","Original","Current_paper",-1.53998343795115,NA
"16","Midtre Lovénbreen",8.06673960899762,0.534726613591101,6.7675,0.0614020800298367,0.16375,"Northern","78.8850","12.0495","Ocean",220,2,"Valley","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",1.91213174250632,-0.625999665325928
"17","Morterasch",11.6336272274205,2.58205508346469,77.9505173328288,0.0305434094314752,0.187381320642228,"Northern","46.398729027998698","9.9202447564498701","Center",2400,220,"Valley","Europe","Southern Europe","the Alps","Switzerland","Literature","Baccolo et al., 2020",4.35607423220824,0.948585625839295
"18","Recherchebreen",6.2255784233188,0.180178179690111,2.05968628609414,0.0596610545780333,0.161973510757589,"Northern","77.4496","14.7978","Ocean",290,0,"Valley","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",0.722553682900633,-1.71380903053986
"19","Renardbreen",7.48110856215369,0.71286722027321,9.98428571428571,0.0545306347986676,0.128759364564268,"Northern","77.5238","14.4284","Ocean",290,2,"Outlet","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",2.30101242843372,-0.338460102736002
"20","Scottbreen",5.86712212552276,0.48312021227684,8.71985799420269,0.05318677715294,0.150324442869766,"Northern","77.5514","14.3650","Ocean",290,2,"Valley","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",2.16560295271979,-0.72748976959519
"21","Suntarhyata No.29-31",12.9967058129957,1.19415598946908,17.0825165213332,0.0597060170397627,0.1579,"Northern","62.583333000000003","140.85","Ocean",2100,380,"Valley","Central Asia","Central Asia","Suntar-Khayata","Suntar-Khayata","Original","Current_paper",2.83805551482194,0.177439650883633
"22","Tsanteleina",7.59792204228098,0.177961835285947,3.63027349060682,0.0422520195923848,0.159083333333333,"Northern","45.479900000000001","7.0460000000000003","Center",3000,175,"Valley","Europe","Southern Europe","the Alps","France","Original","Current_paper",1.28930798720367,-1.72618616018476
"23","Tyndall",1.06136820925557,0.0312655698259101,0.351776298833342,0.0874097858792928,0.091,"Southern","-51.2166","-73.283299999999997","Center",700,115,"Valley","South America","South America","Patagonia","Chile","Original","Current_paper",-1.0447598200871,-3.46523779244817
"24","Urumqi  No.1",10.1646336622464,0.31681291041475,6.70627828243215,0.0319903030345954,0.170181818181818,"Northern","43.116667","86.8","Equal",3800,2450,"Valley","Central Asia","Central Asia","Tienshan","Tienshan","Original","Current_paper",1.90304414471244,-1.14944386730042
"25","Vestre Broggerbreen",9.98208376435354,0.564344704463662,7.66666666666667,0.0572592651478789,0.160666666666667,"Northern","78.9006","11.8187","Ocean",220,4,"Valley","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",2.03688192726104,-0.572090036050305
"26","Waldemarbreen",6.90895798452596,0.810284394154201,13.6129209429176,0.0598832425640102,0.147263664199083,"Northern","78.6783","12.0584","Ocean",387,3.5,"Valley","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",2.61101941104396,-0.210369989044126
"27","Werenskioldbreen",9.95947431149198,3.08334761665938,47.8372065309044,0.0603235214068328,0.122684095604955,"Northern","77.0764","15.3202","Ocean",255,4,"Outlet","Arctic_sub","Svalbard","Svalbard","Svalbard","Literature","£okas et al., in_prep",3.86780371602497,1.12601589527556
"28","Yala",4.61594543732239,0.476350493874338,8.26385953768591,0.0353838732608916,0.1816,"Northern","28.23","85.61","Ocean",5250,750,"Valley","Central Asia","Central Asia","Himalayas","Himalayas","Original","Current_paper",2.11189173478106,-0.7416013640411
"29","Zebru",20.4594778303424,2.51304017183784,76.7533905430761,0.0337742380936686,0.174375,"Northern","46.478611000000001","10.568056","Ocean",3300,185,"Valley","Europe","Southern Europe","the Alps","Italy","Original","Current_paper",4.34059756194857,0.92149324404365
